      time         0         1         2
  0.000000  0.095151  0.887370  0.556050
  0.001750  0.094500  0.883383  0.553719
  0.003500  0.093857  0.879417  0.551403
  0.005250  0.093220  0.875473  0.549101
  0.007000  0.092590  0.871549  0.546814
  0.008750  0.091966  0.867645  0.544542
  0.010500  0.091349  0.863762  0.542285
  0.012250  0.090739  0.859900  0.540042
  0.014000  0.090135  0.856058  0.537813
  0.015750  0.089537  0.852236  0.535599
  0.017500  0.088945  0.848434  0.533399
  0.019250  0.088360  0.844652  0.531213
  0.021000  0.087781  0.840890  0.529040
  0.022750  0.087208  0.837148  0.526882
  0.024500  0.086640  0.833425  0.524738
  0.026250  0.086079  0.829722  0.522607
  0.028000  0.085524  0.826038  0.520490
  0.029750  0.084974  0.822373  0.518386
  0.031500  0.084430  0.818727  0.516295
  0.033250  0.083892  0.815101  0.514218
  0.035000  0.083359  0.811493  0.512154
  0.036750  0.082832  0.807904  0.510104
  0.038500  0.082310  0.804333  0.508066
  0.040250  0.081794  0.800781  0.506041
  0.042000  0.081283  0.797248  0.504029
  0.043750  0.080778  0.793733  0.502030
  0.045500  0.080277  0.790236  0.500043
  0.047250  0.079782  0.786757  0.498070
  0.049000  0.079292  0.783296  0.496108
  0.050750  0.078807  0.779853  0.494159
  0.052500  0.078328  0.776428  0.492222
  0.054250  0.077853  0.773020  0.490298
  0.056000  0.077383  0.769630  0.488386
  0.057750  0.076918  0.766257  0.486485
  0.059500  0.076457  0.762902  0.484597
  0.061250  0.076002  0.759564  0.482721
  0.063000  0.075551  0.756243  0.480857
  0.064750  0.075105  0.752939  0.479004
  0.066500  0.074663  0.749652  0.477163
  0.068250  0.074226  0.746382  0.475333
  0.070000  0.073794  0.743129  0.473516
  0.071750  0.073366  0.739892  0.471709
  0.073500  0.072942  0.736672  0.469914
  0.075250  0.072523  0.733468  0.468130
  0.077000  0.072108  0.730281  0.466358
  0.078750  0.071698  0.727110  0.464596
  0.080500  0.071291  0.723955  0.462846
  0.082250  0.070889  0.720816  0.461106
  0.084000  0.070491  0.717693  0.459378
  0.085750  0.070097  0.714586  0.457660
  0.087500  0.069707  0.711495  0.455954
  0.089250  0.069322  0.708419  0.454258
  0.091000  0.068940  0.705359  0.452572
  0.092750  0.068562  0.702314  0.450897
  0.094500  0.068188  0.699285  0.449233
  0.096250  0.067818  0.696271  0.447579
  0.098000  0.067451  0.693273  0.445935
  0.099750  0.067089  0.690289  0.444302
  0.101500  0.066730  0.687321  0.442679
  0.103250  0.066375  0.684367  0.441066
  0.105000  0.066024  0.681429  0.439463
  0.106750  0.065676  0.678505  0.437870
  0.108500  0.065332  0.675596  0.436287
  0.110250  0.064991  0.672702  0.434714
  0.112000  0.064654  0.669822  0.433151
  0.113750  0.064320  0.666956  0.431598
  0.115500  0.063990  0.664105  0.430054
  0.117250  0.063663  0.661269  0.428520
  0.119000  0.063339  0.658446  0.426996
  0.120750  0.063019  0.655638  0.425481
  0.122500  0.062703  0.652843  0.423975
  0.124250  0.062389  0.650063  0.422479
  0.126000  0.062079  0.647296  0.420993
  0.127750  0.061772  0.644543  0.419515
  0.129500  0.061468  0.641804  0.418047
  0.131250  0.061167  0.639079  0.416588
  0.133000  0.060869  0.636367  0.415138
  0.134750  0.060575  0.633669  0.413697
  0.136500  0.060283  0.630984  0.412265
  0.138250  0.059995  0.628313  0.410842
  0.140000  0.059709  0.625654  0.409428
  0.141750  0.059427  0.623009  0.408023
  0.143500  0.059147  0.620377  0.406627
  0.145250  0.058870  0.617758  0.405239
  0.147000  0.058597  0.615152  0.403860
  0.148750  0.058326  0.612559  0.402489
  0.150500  0.058058  0.609979  0.401127
  0.152250  0.057792  0.607411  0.399774
  0.154000  0.057530  0.604856  0.398429
  0.155750  0.057270  0.602314  0.397092
  0.157500  0.057013  0.599784  0.395764
  0.159250  0.056758  0.597267  0.394444
  0.161000  0.056506  0.594762  0.393132
  0.162750  0.056257  0.592270  0.391828
  0.164500  0.056011  0.589789  0.390533
  0.166250  0.055767  0.587321  0.389245
  0.168000  0.055525  0.584865  0.387966
  0.169750  0.055286  0.582421  0.386695
  0.171500  0.055050  0.579989  0.385431
  0.173250  0.054816  0.577569  0.384176
  0.175000  0.054585  0.575161  0.382928
  0.176750  0.054356  0.572765  0.381688
  0.178500  0.054129  0.570380  0.380456
  0.180250  0.053905  0.568007  0.379231
  0.182000  0.053683  0.565645  0.378014
  0.183750  0.053464  0.563295  0.376805
  0.185500  0.053247  0.560957  0.375603
  0.187250  0.053032  0.558630  0.374409
  0.189000  0.052819  0.556314  0.373223
  0.190750  0.052609  0.554010  0.372043
  0.192500  0.052401  0.551716  0.370871
  0.194250  0.052195  0.549434  0.369707
  0.196000  0.051992  0.547163  0.368549
  0.197750  0.051791  0.544903  0.367399
  0.199500  0.051591  0.542654  0.366256
  0.201250  0.051394  0.540416  0.365121
  0.203000  0.051199  0.538188  0.363992
  0.204750  0.051006  0.535972  0.362870
  0.206500  0.050816  0.533766  0.361756
  0.208250  0.050627  0.531571  0.360648
  0.210000  0.050440  0.529386  0.359548
  0.211750  0.050256  0.527212  0.358454
  0.213500  0.050073  0.525049  0.357367
  0.215250  0.049893  0.522895  0.356287
  0.217000  0.049714  0.520753  0.355214
  0.218750  0.049537  0.518620  0.354147
  0.220500  0.049363  0.516498  0.353088
  0.222250  0.049190  0.514386  0.352035
  0.224000  0.049019  0.512284  0.350988
  0.225750  0.048850  0.510193  0.349948
  0.227500  0.048683  0.508111  0.348915
  0.229250  0.048518  0.506039  0.347888
  0.231000  0.048355  0.503978  0.346867
  0.232750  0.048193  0.501926  0.345853
  0.234500  0.048033  0.499884  0.344846
  0.236250  0.047875  0.497851  0.343845
  0.238000  0.047719  0.495829  0.342850
  0.239750  0.047565  0.493816  0.341861
  0.241500  0.047412  0.491813  0.340879
  0.243250  0.047261  0.489819  0.339902
  0.245000  0.047112  0.487835  0.338932
  0.246750  0.046965  0.485860  0.337969
  0.248500  0.046819  0.483895  0.337011
  0.250250  0.046675  0.481939  0.336059
  0.252000  0.046533  0.479992  0.335113
  0.253750  0.046392  0.478055  0.334174
  0.255500  0.046253  0.476127  0.333240
  0.257250  0.046115  0.474208  0.332312
  0.259000  0.045980  0.472298  0.331390
  0.260750  0.045845  0.470397  0.330474
  0.262500  0.045713  0.468505  0.329564
  0.264250  0.045582  0.466622  0.328660
  0.266000  0.045452  0.464748  0.327761
  0.267750  0.045324  0.462883  0.326868
  0.269500  0.045198  0.461027  0.325981
  0.271250  0.045073  0.459180  0.325099
  0.273000  0.044950  0.457341  0.324224
  0.274750  0.044828  0.455511  0.323353
  0.276500  0.044707  0.453690  0.322489
  0.278250  0.044589  0.451877  0.321629
  0.280000  0.044471  0.450072  0.320776
  0.281750  0.044355  0.448277  0.319927
  0.283500  0.044241  0.446489  0.319085
  0.285250  0.044128  0.444711  0.318247
  0.287000  0.044016  0.442940  0.317415
  0.288750  0.043906  0.441178  0.316589
  0.290500  0.043797  0.439424  0.315767
  0.292250  0.043690  0.437678  0.314951
  0.294000  0.043584  0.435941  0.314141
  0.295750  0.043479  0.434211  0.313335
  0.297500  0.043376  0.432490  0.312535
  0.299250  0.043274  0.430777  0.311740
  0.301000  0.043174  0.429072  0.310950
  0.302750  0.043075  0.427375  0.310165
  0.304500  0.042977  0.425685  0.309385
  0.306250  0.042880  0.424004  0.308610
  0.308000  0.042785  0.422331  0.307841
  0.309750  0.042691  0.420665  0.307076
  0.311500  0.042599  0.419007  0.306316
  0.313250  0.042507  0.417357  0.305562
  0.315000  0.042417  0.415715  0.304812
  0.316750  0.042329  0.414080  0.304067
  0.318500  0.042241  0.412453  0.303327
  0.320250  0.042155  0.410833  0.302592
  0.322000  0.042070  0.409221  0.301862
  0.323750  0.041986  0.407616  0.301136
  0.325500  0.041903  0.406019  0.300415
  0.327250  0.041822  0.404430  0.299699
  0.329000  0.041742  0.402847  0.298988
  0.330750  0.041663  0.401272  0.298281
  0.332500  0.041585  0.399705  0.297580
  0.334250  0.041509  0.398144  0.296882
  0.336000  0.041434  0.396591  0.296190
  0.337750  0.041359  0.395045  0.295501
  0.339500  0.041286  0.393506  0.294818
  0.341250  0.041215  0.391975  0.294139
  0.343000  0.041144  0.390450  0.293465
  0.344750  0.041074  0.388932  0.292795
  0.346500  0.041006  0.387422  0.292129
  0.348250  0.040939  0.385918  0.291468
  0.350000  0.040873  0.384421  0.290811
  0.351750  0.040808  0.382932  0.290159
  0.353500  0.040744  0.381449  0.289511
  0.355250  0.040681  0.379973  0.288868
  0.357000  0.040619  0.378503  0.288229
  0.358750  0.040559  0.377041  0.287594
  0.360500  0.040499  0.375585  0.286963
  0.362250  0.040441  0.374136  0.286337
  0.364000  0.040384  0.372694  0.285715
  0.365750  0.040327  0.371258  0.285097
  0.367500  0.040272  0.369829  0.284484
  0.369250  0.040218  0.368406  0.283874
